t,ecg_signal_offset
5.083088954056695918e-01,8.151948051948052498e-01
5.092864125122189556e-01,8.545454545454546080e-01
5.102639296187683193e-01,8.937662337662337642e-01
5.112414467253176831e-01,9.362987012987014079e-01
5.122189638318670468e-01,9.786363636363637486e-01
5.131964809384164106e-01,1.023766233766233880e+00
5.141739980449657743e-01,1.072142857142857064e+00
5.151515151515151381e-01,1.119545454545454621e+00
5.161290322580645018e-01,1.161038961038961315e+00
5.171065493646138655e-01,1.200000000000000178e+00
5.180840664711632293e-01,1.195194805194805365e+00
5.190615835777125930e-01,1.190389610389610553e+00
5.200391006842619568e-01,1.185519480519480640e+00
5.210166177908113205e-01,1.180714285714286049e+00
5.219941348973606843e-01,1.176168831168831197e+00
5.229716520039100480e-01,1.172337662337662456e+00
5.239491691104594118e-01,1.166493506493506693e+00
5.249266862170087755e-01,1.161363636363636598e+00
5.259042033235581393e-01,1.156818181818181968e+00
5.268817204301075030e-01,1.151883116883116953e+00
5.278592375366568668e-01,1.147077922077922363e+00
5.288367546432062305e-01,1.142532467532467511e+00
5.298142717497555942e-01,1.137662337662337819e+00
5.307917888563049580e-01,1.132987012987013209e+00
5.317693059628543217e-01,1.127727272727272911e+00
5.327468230694036855e-01,1.113896103896103940e+00
5.337243401759530492e-01,1.057987012987013031e+00
5.347018572825024130e-01,9.849350649350651077e-01
5.356793743890517767e-01,8.900649350649352254e-01
5.366568914956011405e-01,7.862987012987014968e-01
5.376344086021505042e-01,6.842207792207793959e-01
5.386119257086998680e-01,5.878571428571429669e-01
5.395894428152492317e-01,4.963636363636364512e-01
5.405669599217985954e-01,4.173376623376623407e-01
5.415444770283479592e-01,3.521428571428571463e-01
5.425219941348973229e-01,2.975324675324675372e-01
5.434995112414466867e-01,2.570129870129870264e-01
5.444770283479960504e-01,2.312987012987013924e-01
5.454545454545454142e-01,2.128571428571428004e-01
5.464320625610947779e-01,2.000000000000000666e-01
5.474095796676441417e-01,2.007142857142857340e-01
5.483870967741935054e-01,2.101948051948051566e-01
5.493646138807428692e-01,2.257792207792207462e-01
5.503421309872922329e-01,2.491558441558441861e-01
5.513196480938415966e-01,2.767532467532468066e-01
5.522971652003909604e-01,3.060389610389610549e-01
5.532746823069403241e-01,3.376623376623377193e-01
5.542521994134896879e-01,3.627272727272727870e-01
5.552297165200390516e-01,3.775974025974025983e-01
5.562072336265884154e-01,3.874025974025974151e-01
5.571847507331377791e-01,3.967532467532467466e-01
5.581622678396871429e-01,4.147402597402598534e-01
5.591397849462365066e-01,4.350000000000000533e-01
5.601173020527858704e-01,4.490909090909090962e-01
5.610948191593352341e-01,4.559740259740260315e-01
5.620723362658845979e-01,4.543506493506493937e-01
5.630498533724339616e-01,4.509090909090909260e-01
5.640273704789834364e-01,4.464285714285714524e-01
5.650048875855328001e-01,4.498051948051948745e-01
